D1D2D3D4D5D6D7D8D9D10D11	path
✓✓✓✓✓✓✓✓✓✓✓	docs/A00-meta/changelog.md
✓✓✓✓✓✓✓✓✓✓✓	docs/A00-meta/consistency-audit-2026-05-16-round2.md
✓✓✓✓✓✓✓✓✓✓✓	docs/A00-meta/consistency-audit-2026-05-16-round3.md
✓✓✓✓✓✓✓✓✓✓✓	docs/A00-meta/consistency-audit-2026-05-16.md
✓✓✓✓✓✓✓✓✓✓✓	docs/A00-meta/glossary.md
✓✓✓✓✓✓✓✓✓✓✓	docs/A00-meta/questions/A-questions-round1-resolved.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B01-architecture/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B01-architecture/01-tech-stack.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B01-architecture/02-project-structure.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B01-architecture/03-database.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B01-architecture/04-api-conventions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B01-architecture/05-coding-standards.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B01-architecture/06-deploy-env.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B01-architecture/07-i18n-responsive.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B01-architecture/08-surfaces.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B01-architecture/09-auth-infra.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B01-architecture/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B01-architecture/_input/preferences.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B02-ux/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B02-ux/01-direction.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B02-ux/02-references.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B02-ux/03-anti-examples.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B02-ux/04-voice-tone.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B02-ux/05-moodboard.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B02-ux/06-experience-principles.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B02-ux/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B02-ux/_input/style-input.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/_input/visual-input.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/design-system/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/design-system/01-tokens.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/design-system/02-layout.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/design-system/03-navigation.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/design-system/04-status-colors.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/design-system/05-components/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/design-system/05-components/01-buttons.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/design-system/05-components/02-forms.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/design-system/05-components/03-tables.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/design-system/05-components/04-modals.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/design-system/05-components/05-drawers.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/design-system/05-components/06-toasts-alerts.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/design-system/05-components/07-empty-loading.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/design-system/05-components/08-popovers-tooltips.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/design-system/05-components/09-avatars-badges-tags.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/design-system/05-components/10-tabs-accordion.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/design-system/05-components/11-cards-glass.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/design-system/05-components/12-decorations.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/design-system/06-interactions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/design-system/07-responsive-dark.md
